,nb_type,num_train,num_test,k,train_acc,test_acc,fit_time,train_s_time,test_s_time
0,bernouli,50,50,1,0.98,0.64,0.052857398986816406,0.36901259422302246,0.43497180938720703
1,bernouli,100,100,1,0.92,0.71,0.08629226684570312,0.5209457874298096,0.5319185256958008
2,bernouli,500,500,1,0.878,0.752,0.41928744316101074,2.6269121170043945,2.6236534118652344
3,bernouli,2000,1000,1,0.832,0.785,1.7241113185882568,11.044315338134766,5.587734937667847
4,bernouli,10000,2000,1,0.8342,0.7855,9.280933380126953,55.95622658729553,11.107151985168457
5,bernouli,60000,10000,1,0.8312666666666667,0.8413,50.44216012954712,329.1005663871765,54.970285177230835
6,bernouli,50,50,5,0.74,0.6,0.043883323669433594,0.4168894290924072,0.2640113830566406
7,bernouli,100,100,5,0.69,0.5,0.09179067611694336,0.688452959060669,0.5441005229949951
8,bernouli,500,500,5,0.862,0.732,0.5411813259124756,2.8057477474212646,2.9871606826782227
9,bernouli,2000,1000,5,0.8235,0.775,1.7223701477050781,11.945752620697021,6.812836408615112
10,bernouli,10000,2000,5,0.8318,0.7835,9.03709864616394,61.949124813079834,13.265871286392212
11,bernouli,60000,10000,5,0.8303166666666667,0.8408,58.95774245262146,362.1813313961029,59.94468641281128
12,bernouli,50,50,30,0.66,0.44,0.048905134201049805,0.34743785858154297,0.26009297370910645
13,bernouli,100,100,30,0.28,0.11,0.10171365737915039,0.5146572589874268,0.5247089862823486
14,bernouli,500,500,30,0.792,0.672,0.46226978302001953,3.0001626014709473,3.153897523880005
15,bernouli,2000,1000,30,0.7965,0.746,1.68080735206604,10.443076610565186,5.270037889480591
16,bernouli,10000,2000,30,0.8222,0.7765,8.674113988876343,61.09187388420105,12.544982194900513
17,bernouli,60000,10000,30,0.82755,0.8387,56.26270031929016,369.1778120994568,60.48873710632324
18,bernouli,50,50,100,0.68,0.44,0.04193472862243652,0.2553389072418213,0.2539968490600586
19,bernouli,100,100,100,0.28,0.11,0.08176279067993164,0.5166175365447998,0.6175792217254639
20,bernouli,500,500,100,0.7,0.574,0.42414069175720215,2.772505044937134,2.715066432952881
21,bernouli,2000,1000,100,0.769,0.724,1.814469814300537,11.32192349433899,5.286808729171753
22,bernouli,10000,2000,100,0.8089,0.7685,8.991435289382935,60.37942814826965,11.015037059783936
23,bernouli,60000,10000,100,0.8228833333333333,0.8352,53.995065450668335,341.4193665981293,56.697439670562744
24,multinomial,50,50,1,0.98,0.72,0.06785130500793457,1.3347446918487549,1.5957791805267334
25,multinomial,100,100,1,0.97,0.73,0.13370895385742188,2.84125018119812,2.6219241619110107
26,multinomial,500,500,1,0.902,0.764,0.6015357971191406,13.354701280593872,13.88388466835022
27,multinomial,2000,1000,1,0.8395,0.787,2.649556875228882,54.598891735076904,26.93175435066223
28,multinomial,10000,2000,1,0.834,0.7825,12.989559888839722,287.62344574928284,56.162232637405396
29,multinomial,60000,10000,1,0.8252666666666667,0.8365,76.36350059509277,1701.1920788288116,284.1014246940613
30,multinomial,50,50,5,0.98,0.72,0.06187868118286133,1.4452729225158691,1.4575517177581787
31,multinomial,100,100,5,0.97,0.72,0.154587984085083,2.993612051010132,2.7820584774017334
32,multinomial,500,500,5,0.898,0.764,0.6647231578826904,13.825342893600464,14.296465158462524
33,multinomial,2000,1000,5,0.838,0.786,2.657942533493042,56.698878049850464,28.35869264602661
34,multinomial,10000,2000,5,0.8338,0.782,14.243224143981934,284.2753939628601,57.293623208999634
35,multinomial,60000,10000,5,0.8251666666666667,0.8363,85.72079157829285,1788.4238495826721,299.746949672699
36,multinomial,50,50,30,0.98,0.74,0.06066560745239258,1.444934368133545,1.4496028423309326
37,multinomial,100,100,30,0.97,0.71,0.1297755241394043,2.9392716884613037,2.9219722747802734
38,multinomial,500,500,30,0.888,0.766,0.7265820503234863,14.950059413909912,14.791369915008545
39,multinomial,2000,1000,30,0.836,0.785,2.984736919403076,59.36512112617493,30.191221952438354
40,multinomial,10000,2000,30,0.8329,0.7815,15.620998859405518,295.2860338687897,57.49706721305847
41,multinomial,60000,10000,30,0.8250333333333333,0.8363,86.6740345954895,1770.9826169013977,297.98465943336487
42,multinomial,50,50,100,0.98,0.68,0.07747340202331543,1.4813873767852783,1.4207735061645508
43,multinomial,100,100,100,0.94,0.69,0.13239765167236328,2.844151735305786,2.9564478397369385
44,multinomial,500,500,100,0.874,0.762,0.6497917175292969,14.603539228439331,15.084183931350708
45,multinomial,2000,1000,100,0.8345,0.783,2.8347506523132324,58.74659490585327,29.243377447128296
46,multinomial,10000,2000,100,0.8325,0.7825,14.854722738265991,296.1498177051544,58.132774353027344
47,multinomial,60000,10000,100,0.8247333333333333,0.836,88.01430439949036,1770.891764640808,294.8227758407593
