,nb_type,num_train,num_test,k,train_acc,test_acc,fit_time,train_s_time,test_s_time
0,bernouli,50,50,1,0.36,0.18,0.0009975433349609375,0.0016620159149169922,0.0010318756103515625
1,bernouli,100,100,1,0.27,0.2,0.0009627342224121094,0.0029935836791992188,0.002990245819091797
2,bernouli,500,500,1,0.48,0.342,0.005983114242553711,0.012895345687866211,0.012636899948120117
3,bernouli,2000,750,1,0.754,0.6373333333333333,0.02593064308166504,0.04587745666503906,0.016989469528198242
4,bernouli,-1,-1,1,0.8405935854475826,0.7562904385334291,0.04890084266662598,0.14143109321594238,0.03790736198425293
5,bernouli,50,50,2,0.22,0.16,0.0009989738464355469,0.0019931793212890625,0.0009987354278564453
6,bernouli,100,100,2,0.17,0.16,0.0019969940185546875,0.003988027572631836,0.004080772399902344
7,bernouli,500,500,2,0.29,0.232,0.005986213684082031,0.011972904205322266,0.011963367462158203
8,bernouli,2000,750,2,0.5655,0.4826666666666667,0.025928735733032227,0.045877695083618164,0.023289203643798828
9,bernouli,-1,-1,2,0.6893250359023456,0.6283249460819554,0.04491472244262695,0.09570789337158203,0.031914472579956055
10,bernouli,50,50,5,0.2,0.14,0.0009987354278564453,0.0019931793212890625,0.0009982585906982422
11,bernouli,100,100,5,0.17,0.16,0.000989675521850586,0.002992391586303711,0.0029604434967041016
12,bernouli,500,500,5,0.166,0.152,0.007977008819580078,0.012997865676879883,0.011935234069824219
13,bernouli,2000,750,5,0.306,0.28933333333333333,0.021941423416137695,0.04890108108520508,0.017920255661010742
14,bernouli,-1,-1,5,0.4569171852561034,0.42343637670740475,0.04288434982299805,0.09677457809448242,0.031929969787597656
15,bernouli,50,50,15,0.2,0.14,0.000982522964477539,0.0019958019256591797,0.0020210742950439453
16,bernouli,100,100,15,0.17,0.16,0.001996755599975586,0.0029573440551757812,0.002026796340942383
17,bernouli,500,500,15,0.152,0.144,0.0050182342529296875,0.013385534286499023,0.010973453521728516
18,bernouli,2000,750,15,0.163,0.148,0.02992105484008789,0.05089592933654785,0.017952919006347656
19,bernouli,-1,-1,15,0.22809956917185256,0.22214234363767074,0.06283307075500488,0.13862943649291992,0.06083822250366211
20,multinomial,50,50,1,0.92,0.32,0.0010001659393310547,0.00199127197265625,0.0029914379119873047
21,multinomial,100,100,1,0.89,0.38,0.0019941329956054688,0.003989219665527344,0.0019931793212890625
22,multinomial,500,500,1,0.928,0.732,0.00698089599609375,0.014961719512939453,0.011966466903686523
23,multinomial,2000,750,1,0.9645,0.8853333333333333,0.028923988342285156,0.044902801513671875,0.016965627670288086
24,multinomial,-1,-1,1,0.9743896601244615,0.9338605319913731,0.08178114891052246,0.1316533088684082,0.03191637992858887
25,multinomial,50,50,2,0.46,0.22,0.0009992122650146484,0.0009961128234863281,0.0019767284393310547
26,multinomial,100,100,2,0.47,0.26,0.000995635986328125,0.003991603851318359,0.0020248889923095703
27,multinomial,500,500,2,0.73,0.564,0.007019758224487305,0.012283802032470703,0.012815475463867188
28,multinomial,2000,750,2,0.9015,0.8306666666666667,0.03590250015258789,0.04385066032409668,0.01712489128112793
29,multinomial,-1,-1,2,0.9418382000957396,0.9029475197699497,0.059871673583984375,0.08876204490661621,0.03587031364440918
30,multinomial,50,50,5,0.2,0.14,0.0009970664978027344,0.0020275115966796875,0.0009641647338867188
31,multinomial,100,100,5,0.17,0.17,0.0029935836791992188,0.0029916763305664062,0.003016948699951172
32,multinomial,500,500,5,0.364,0.294,0.011003971099853516,0.011935234069824219,0.011707782745361328
33,multinomial,2000,750,5,0.695,0.6373333333333333,0.03191328048706055,0.04391622543334961,0.01891613006591797
34,multinomial,-1,-1,5,0.8401148875059837,0.798705966930266,0.05987048149108887,0.09175229072570801,0.030925750732421875
35,multinomial,50,50,15,0.2,0.14,0.0010323524475097656,0.0009963512420654297,0.0019598007202148438
36,multinomial,100,100,15,0.17,0.16,0.002992868423461914,0.0036067962646484375,0.002029895782470703
37,multinomial,500,500,15,0.162,0.15,0.007979393005371094,0.010975837707519531,0.01196432113647461
38,multinomial,2000,750,15,0.3245,0.30133333333333334,0.03390765190124512,0.053891658782958984,0.02663564682006836
39,multinomial,-1,-1,15,0.5440402106270943,0.5240833932422717,0.05987048149108887,0.09075784683227539,0.03244829177856445
